rgn_ds,hour_0_48,hour_49_120,hour_121_240,hour_241_360,hour_remaining
Chennai,16,5,0,0,0
Bangalore,26,1,0,0,0
Kolkata,6,0,0,0,0
Pune,2,0,0,0,0
Ahmedabad,1,0,0,0,0
Delhi Networks,78,11,0,0,0
