Region_ds,day_0_2,day_3_7,day_8_14,day_remaining
Chennai,0,0,8,13
Bangalore,0,1,6,20
Kolkata,0,0,0,6
Pune,0,0,2,0
Ahmedabad,0,0,0,1
Delhi Networks,0,2,24,63
