Region_ds,day_0_2,day_3_7,day_8_14,day_remaining
Mumbai,0,0,2,3
Delhi,0,1,16,40
Chennai,0,0,8,9
Bangalore,0,0,2,10
Kolkata,0,0,1,0
Pune,0,0,2,5	
