rgn_ds,hour_0_48,hour_49_120,hour_121_240,hour_241_360,hour_remaining
Delhi,3,0,0,0,0
Bangalore,4,0,0,0,0
Kolkata,1,0,0,0,0
Pune,1,0,0,0,0
Ahmedabad,2,0,0,0,0
Delhi Networks,4,2,0,0,0	
